NLC,NAME,EASTING,NORTHING,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Zone,x,y,Night Tube?
500,Acton Town,519478,179592,"District, Piccadilly",London Underground,Yes,,,,3,-0.278432824,51.50213702,Yes
501,Barbican,532004,181856,"Circle, Hammersmith & City, Metropolitan",London Underground,Yes,,,,1,-0.097189673,51.51969921,No
502,Aldgate,533613,181262,"Circle, Metropolitan",London Underground,Yes,,,,1,-0.0742363,51.51398203,No
503,Aldgate East,533936,181375,"District, Hammersmith & City",London Underground,Yes,,,,1,-0.069540402,51.51491653,No
504,Stratford International DLR,538128,184761,DLR,,,,,Yes,"2,3",-0.007832275,51.54433906,No
505,Alperton,517996,183795,Piccadilly,London Underground,Yes,,,,4,-0.298361133,51.54022715,No
506,Amersham,496372,198181,Metropolitan,London Underground,Yes,,,,9,-0.606146762,51.67366188,No
507,Angel,531561,183100,Northern,London Underground,Yes,,,,1,-0.103116359,51.5309796,No
508,Archway,529364,186721,Northern,London Underground,Yes,,,,"2,3",-0.13344404,51.56403452,Yes
509,Arnos Grove,529355,192498,Piccadilly,London Underground,Yes,,,,4,-0.131434823,51.61595478,Yes
510,Arsenal,531305,186112,Piccadilly,London Underground,Yes,,,,2,-0.105674399,51.55811105,Yes
511,Baker Street,527955,182064,"Bakerloo, Circle, Jubilee, Hammersmith & City, Metropolitan",London Underground,Yes,,,,1,-0.155454387,51.52249387,Yes
512,Balham LU,528480,173244,Northern,London Underground,Yes,,,,3,-0.151090206,51.44310998,Yes
513,Bank and Monument,532710,181120,"Central, Circle, District, DLR, Northern, Waterloo & City",London Underground,Yes,,,Yes,1,-0.08729695,51.51291511,Yes
514,Barking,544359,184382,"District, Hammersmith & City, London Overground",London Underground,Yes,,Yes,,4,0.081813552,51.53937511,No
515,Barkingside,544799,189494,Central,London Underground,Yes,,,,4,0.090259547,51.58519895,Yes
516,Barons Court,524046,178328,"District, Piccadilly",London Underground,Yes,,,,2,-0.213088174,51.48978737,Yes
517,Bayswater,525843,180823,"Circle, District",London Underground,Yes,,,,1,-0.186322701,51.51181507,No
518,Becontree,547628,184527,District,London Underground,Yes,,,,5,0.128978641,51.53983401,No
519,Belsize Park,527354,185089,Northern,London Underground,Yes,,,,2,-0.163016956,51.54982085,Yes
520,Bethnal Green LU,535044,182718,Central,London Underground,Yes,,,,2,-0.053074702,51.52672839,Yes
521,Blackfriars LU,531694,180893,"Circle, District",London Underground,Yes,,,,1,-0.102020251,51.51111447,No
522,Blackhorse Road,535761,189370,"London Overground, Victoria",London Underground,Yes,,Yes,,3,-0.040174342,51.58633801,Yes
523,King George V,543237,180137,DLR,,,,,Yes,3,0.063920007,51.50151128,No
524,Bond Street,528491,181118,"Central, Jubilee, TfL Rail",London Underground,Yes,Yes,,,1,-0.148076884,51.51387033,Yes
525,Borough,532440,179751,Northern,London Underground,Yes,,,,1,-0.091702818,51.50067969,No
