,NLC,Station,En/Ex 2007,En/Ex 2008,En/Ex 2009,En/Ex 2010,En/Ex 2011,En/Ex 2012,En/Ex 2013,En/Ex 2014,En/Ex 2015,En/Ex 2016,En/Ex 2017,En/Ex 2018,En/Ex 2019,En/Ex 2020,En/Ex 2021,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Night Tube?
0,500.0,Acton Town,5773625.0,5816798.0,5459521.0,5428316.0,5462387.0,5584934.0,5748994.0,6059017.0,6235045.0,6274649.0,5731527.0,5794685.0,6186555.0,3568528.0,2902697.0,"District, Piccadilly",London Underground,Yes,,,,Yes
1,501.0,Barbican,9558748.0,10030975.0,9261249.0,8873092.0,9228704.0,9850562.0,10464425.0,11444738.0,11283478.0,11973122.0,11303155.0,11160091.0,10467974.0,2537108.0,3467856.0,"Circle, Hammersmith & City, Metropolitan",London Underground,Yes,,,,No
2,502.0,Aldgate,5572412.0,6243135.0,5974176.0,6026534.0,6235513.0,6647283.0,6877712.0,7221566.0,7527810.0,8009494.0,8459234.0,9218140.0,9956600.0,2775844.0,3525128.0,"Circle, Metropolitan",London Underground,Yes,,,,No
3,503.0,Aldgate East,7657338.0,8152761.0,9047885.0,8974956.0,9157483.0,10134021.0,11663144.0,12248009.0,12839311.0,13434630.0,13262408.0,13707738.0,14148654.0,3144899.0,5611130.0,"District, Hammersmith & City",London Underground,Yes,,,,No
4,505.0,Alperton,3005522.0,3072270.0,3044399.0,2942987.0,2945259.0,2893236.0,2956888.0,3171235.0,3205455.0,3174845.0,2896391.0,2796159.0,2858439.0,2064990.0,1345253.0,Piccadilly,London Underground,Yes,,,,No
5,506.0,Amersham,2341347.0,2171944.0,2088199.0,2109415.0,2099560.0,2097954.0,2041138.9999999998,2439993.0,2287149.0,2360700.0,2215502.0,2130207.0,2350099.0,863361.0,946577.0,Metropolitan,London Underground,Yes,,,,No
6,507.0,Angel,16625983.999999998,17824269.0,18051985.0,17821157.0,17775047.0,18578717.0,18930868.0,19217171.0,19756365.0,20100806.0,18236123.0,17661269.0,17705761.0,5255371.0,7258744.0,Northern,London Underground,Yes,,,,No
7,508.0,Archway,7738419.0,8236817.999999999,8048465.0,8053512.0,8081810.000000001,8059174.000000001,8169485.999999999,8943726.0,9794439.0,9940993.0,8806365.0,8608964.0,8772643.0,4429802.0,4027456.0,Northern,London Underground,Yes,,,,Yes
8,509.0,Arnos Grove,4314491.0,4250148.0,4311751.0,4096044.0,4159371.0,4155802.0000000005,4479004.0,4713904.0,4550587.0,4645869.0,4372042.0,4263555.0,4436265.0,2340827.0,1963343.0,Piccadilly,London Underground,Yes,,,,Yes
9,510.0,Arsenal,2734787.0,3212954.0,3051762.0,2977319.0,3067815.0,3017544.0,3091593.0,2900614.0,2802635.0,3012524.0,2671088.0,2651488.0,2768340.0,999026.0,1209093.0,Piccadilly,London Underground,Yes,,,,Yes
10,511.0,Baker Street,24009889.0,24605375.0,25636684.0,26275325.0,27017574.0,27744272.0,28097997.0,32175421.999999996,29379132.0,29754860.0,27340420.0,27349471.0,28073310.0,8475976.0,11147642.0,"Bakerloo, Circle, Jubilee, Hammersmith & City, Metropolitan",London Underground,Yes,,,,Yes
11,512.0,Balham LU,11336548.0,11560006.0,11549624.0,10897161.0,11459978.0,11904117.0,12051320.0,13471439.0,14178948.0,14637993.0,13584305.0,12706683.0,13064682.0,5241275.0,5356512.0,Northern,London Underground,Yes,,,,Yes
12,513.0,Bank and Monument,41882819.0,42823864.0,40655415.0,43495766.0,47804941.0,47749950.0,48884756.0,52306067.0,57512971.0,64262200.00000001,90922111.0,86393639.0,92291003.0,15625280.0,30132853.0,"Central, Circle, District, DLR, Northern, Waterloo & City",London Underground,Yes,,,Yes,Yes
13,514.0,Barking,12787835.0,11676598.0,13045782.0,13719922.0,13955938.0,14514735.0,15224058.0,15592496.0,16055212.0,15860320.0,19511102.0,20580625.0,21622036.0,17562493.0,11353650.0,"District, Hammersmith & City, London Overground",London Underground,Yes,,Yes,,No
14,515.0,Barkingside,859251.0,952740.0,975225.0,1080144.0,1156751.0,1118756.0,1241272.0,1351966.0,1406286.0,1633262.0,1543740.0,1557996.0,1575379.0,915270.0,647203.0,Central,London Underground,Yes,,,,Yes
15,516.0,Barons Court,6698321.0,6778341.0,6349273.0,6456132.0,6535580.0,6809659.0,7155458.0,7500664.0,7295186.0,7207423.0,6769847.0,6689966.0,6821846.0,3127255.0,2900237.0,"District, Piccadilly",London Underground,Yes,,,,Yes
16,517.0,Bayswater,6042651.0,5982534.0,6439576.0,5519178.0,5100938.0,5541858.0,5493688.0,5691226.0,5219590.0,4756028.0,4437691.0,4335552.0,4253914.0,1086943.0,1498957.0,"Circle, District",London Underground,Yes,,,,No
17,518.0,Becontree,2314840.0,2547549.0,2420863.0,2493471.0,2759530.0,2837652.0,3039868.0,3395647.0,3490288.0,3545530.0,3458723.0,3477091.0,3461331.0,2756262.0,1759768.0,District,London Underground,Yes,,,,No
18,519.0,Belsize Park,5632841.0,6144764.0,6080640.0,6168717.0,5747717.0,5806568.0,5842725.0,5927817.0,6155599.0,6482865.0,5926276.0,5811597.0,5679733.0,2769409.0,2609939.0,Northern,London Underground,Yes,,,,Yes
19,520.0,Bethnal Green LU,14095386.0,14272056.0,15110104.0,15059643.0,15086509.0,15055906.0,15272389.0,16076636.0,16164736.999999998,16272340.0,14720488.0,14171711.0,14920047.0,6849607.0,6322604.0,Central,London Underground,Yes,,,,Yes
20,521.0,Blackfriars LU,12621265.0,13137897.0,0.0,0.0,0.0,9282172.0,12087967.0,13142562.0,13702647.0,15449362.0,14159864.0,14288212.0,15533461.0,2894042.0,4795990.0,"Circle, District",London Underground,Yes,,,,No
21,522.0,Blackhorse Road,6178833.0,6093247.0,5679321.0,6101764.0,6468586.0,7304059.0,7898300.0,8633193.0,8360092.0,8452553.0,10946261.0,11515668.0,12365373.0,7413637.0,6536601.0,"London Overground, Victoria",London Underground,Yes,,Yes,,Yes
22,524.0,Bond Street,36695785.0,36406455.0,36850571.0,36868627.0,36022087.0,38065150.0,39648205.0,19799777.0,37119274.0,39528650.0,36853006.0,36165875.0,37487361.0,9682506.0,15694939.0,"Central, Jubilee, TfL Rail",London Underground,Yes,Yes,,,Yes
23,525.0,Borough,4138441.0000000005,4140747.0,4869438.0,5088277.0,4573373.0,4840588.0,4887560.0,5309004.0,5358351.0,5873875.0,5581683.0,5413775.0,5547448.0,1471942.0,2066434.0,Northern,London Underground,Yes,,,,No
24,526.0,Boston Manor,1863704.0,1983961.0,1934689.0,1872411.0,1887897.0,1951651.0,2077572.0,2278211.0,2242854.0,2322687.0,2170793.0,2066569.0,2185122.0,1041242.0,879895.0,Piccadilly,London Underground,Yes,,,,Yes
25,527.0,Bounds Green,5497937.0,5777529.0,5554259.0,5302175.0,5592642.0,5738629.0,6161808.0,6564869.0,6462300.0,6615420.0,6057231.0,5749650.0,5990306.0,2953366.0,2509255.0,Piccadilly,London Underground,Yes,,,,Yes
26,528.0,Bow Road,4590692.0,5315977.0,5083967.0,5302929.0,5081976.0,5180394.0,5601781.0,5765573.0,6102443.0,5645547.0,5362773.0,5327619.0,5229778.0,2660676.0,2257180.0,"District, Hammersmith & City",London Underground,Yes,,,,No
27,529.0,Brent Cross,1892404.0,2190859.0,2142167.0,2137758.0,2209328.0,2125797.0,2135435.0,2400107.0,2566618.0,2493412.0,2392436.0,2396791.0,2406723.0,1348186.0,1071927.0,Northern,London Underground,Yes,,,,Yes
28,530.0,Bromley-by-Bow,2652435.0,2745801.0,2406403.0,2620645.0,2750832.0,2628177.0,3210211.0,3414885.0,3685840.0,3789045.0,3569032.0,4093177.0,4229591.0,2575616.0,2030519.0,"District, Hammersmith & City",London Underground,Yes,,,,No
29,531.0,Buckhurst Hill,1548767.0,1597036.0,1721626.0,1794127.0,1849690.0,1910147.0,1943928.0,2061303.0,2063838.0,2188937.0,2195929.0,1844536.0,1856050.0,862044.0,1072751.0,Central,London Underground,Yes,,,,Yes
30,532.0,Burnt Oak,3173136.0,3513361.0,3643813.0,3680047.0,3787725.0,3623525.0,3614445.0,4083381.0,4383772.0,4519973.0,4264418.0,4208566.0,4190341.0,2926900.0,1912270.0,Northern,London Underground,Yes,,,,Yes
31,534.0,Caledonian Road,5333034.0,4932319.0,5083008.0,5091188.0,5273722.0,5250363.0,5939278.0,6003408.0,6126683.0,5725549.0,5426372.0,5226968.0,5603533.0,2343114.0,2421295.0,Piccadilly,London Underground,Yes,,,,Yes
32,535.0,Camden Town,18777443.0,19643233.0,19673751.0,20962210.0,20985400.0,21614759.0,22515351.0,23369124.0,21898497.0,22884901.0,21239992.0,19628395.0,20499697.0,5509540.0,9118497.0,Northern,London Underground,Yes,,,,Yes
33,536.0,Cannon Street LU,4109346.9999999995,4540496.0,3932511.0,3947306.0,4047494.0000000005,4088479.9999999995,4644524.0,5299813.0,7485065.0,8983249.0,8996282.0,7399745.0,7108243.0,1559861.0,2147772.0,"Circle, District",London Underground,Yes,,,,No
34,537.0,Canons Park,1536223.0,1560563.0,1646258.0,1613367.0,1815525.0,1983360.0,2378098.0,2597229.0,2786006.0,2925484.0,2918453.0,2893090.0,2981768.0,1501564.0,1249231.0,Jubilee,London Underground,Yes,,,,Yes
35,539.0,Chalfont & Latimer,1307003.0,1190880.0,1107806.0,1095488.0,1188207.0,1267837.0,1111515.0,1476940.0,1437534.0,1488465.0,1594941.0,1789548.0,1766734.0,818368.0,736602.0,Metropolitan,London Underground,Yes,,,,No
36,540.0,Chalk Farm,4651929.0,4853951.0,5393268.0,5253384.0,4937923.0,5340369.0,5550362.0,5893313.0,5752495.0,5608603.0,5556107.0,5232138.0,5448344.0,1661516.0,2195398.0,Northern,London Underground,Yes,,,,Yes
37,541.0,Chancery Lane,14770603.0,15385542.0,14788758.0,15282247.0,16035269.0,15898206.0,16523655.000000002,16592089.999999998,16355373.0,18189655.0,16775017.0,17033055.0,17253849.0,3405923.0,5469516.0,Central,London Underground,Yes,,,,Yes
38,542.0,Embankment,19973153.0,20847113.0,19829894.0,20213300.0,19789934.0,19884719.0,20151962.0,19661756.0,21562479.0,26844711.0,21002144.0,20303286.0,20963697.0,4055183.0,8251813.0,"Bakerloo, Circle, District, Northern",London Underground,Yes,,,,Yes
39,543.0,Chesham,431532.0,449780.0,427435.0,464042.0,617120.0,652941.0,689840.0,813242.0,875261.0,1069954.0,1081174.0,1121663.0,1170792.0,616342.0,507495.0,Metropolitan,London Underground,Yes,,,,No
40,544.0,Chigwell,379676.0,406177.0,396920.0,440760.0,459125.0,486629.0,520702.0,534259.0,559061.0,531799.0,477501.0,503402.0,524833.0,247222.0,192328.0,Central,London Underground,Yes,,,,No
41,545.0,Chiswick Park,2222808.0,2047946.0,1945744.0,1925876.0,1969078.0,2096264.0000000002,2123339.0,2394985.0,2148469.0,2292764.0,2138042.0,2090004.0,2443330.0,1067866.0,1013033.0,District,London Underground,Yes,,,,No
42,546.0,Chorleywood,998828.0,863869.0,859496.0,850080.0,906215.0,1008639.0000000001,985762.0,1056777.0,1137678.0,1070254.0,1469208.0,1402308.0,1492279.0,769367.0,803805.0,Metropolitan,London Underground,Yes,,,,No
43,547.0,Clapham Common,8770323.0,9049110.0,8974193.0,8972239.0,9055568.0,9214447.0,8938504.0,8938345.0,10072099.0,10043328.0,9926782.0,9711927.0,9644363.0,4500440.0,4712092.0,Northern,London Underground,Yes,,,,Yes
44,548.0,Clapham North,5710997.0,5849119.0,5571082.0,5654465.0,5826772.0,5822763.0,6169702.0,6668320.0,7026138.0,6903645.0,6498663.0,6009179.0,6136734.0,2868042.0,3273797.0,Northern,London Underground,Yes,,,,Yes
45,549.0,Clapham South,7379611.0,7599107.0,7533922.0,7480900.0,7817425.0,7797633.0,7584358.0,8470361.0,8584904.0,8797066.0,8205230.0,7977126.0,8095216.0,3382641.0,3758231.0,Northern,London Underground,Yes,,,,Yes
46,550.0,Cockfosters,1632508.0,1764804.0,1674679.0,1669304.0,1721307.0,1805737.0,1969644.0,1945096.0,1847585.0,2040080.0,1828835.0,1779062.0,1864419.0,886857.0,836566.0,Piccadilly,London Underground,Yes,,,,Yes
47,551.0,Colindale,3790294.0,4100076.9999999995,4092349.9999999995,3934526.0,4126576.0,4270547.0,4536889.0,5397362.0,5946531.0,6227278.0,6781366.0,7109001.0,7700808.0,4335294.0,3432152.0,Northern,London Underground,Yes,,,,Yes
48,552.0,Colliers Wood,5236159.0,5481712.0,5295083.0,5563220.0,5574812.0,5681757.0,5786354.0,6312901.0,6515664.0,6715162.0,6346134.0,6398401.0,6836968.0,3666803.0,3024060.0,Northern,London Underground,Yes,,,,Yes
49,553.0,Covent Garden,12742497.0,17512618.0,18710061.0,19601670.0,20279268.0,21292698.0,21165350.0,15382692.0,14669250.0,17188811.0,16524381.0,15756864.0,16550043.0,1621548.0,7484432.0,Piccadilly,London Underground,Yes,,,,Yes
50,554.0,Croxley,729529.0,749237.0,778399.0,781132.0,818349.0,891178.0,921058.0,1030296.0000000001,1059406.0,1078029.0,1078929.0,1062083.0,1121607.0,515420.0,487950.0,Metropolitan,London Underground,Yes,,,,No
51,555.0,Dagenham East,2091664.0000000002,2144847.0,2161884.0,2114481.0,2222392.0,2288282.0,2418659.0,2662063.0,2858892.0,2976440.0,2850852.0,2889563.0,2953138.0,2490581.0,1496282.0,District,London Underground,Yes,,,,No
